Q400,P1,Q402
Q400,P24,Q406
Q400,P19,Q403
Q400,P11,"Papież Bonifacy IX przyznaje Katarzynie, wdowie po Paszku z Kleparza, łaskę, by w
               obliczu śmierci wybrany przez nią spowiednik mógł jeden raz udzielić jej mocą władzy
               apostolskiej pełnego odpuszczenia grzechów, pod określonymi warunkami."
Q400,P8,"AAV, Reg. Lat., vol. 34, f. 172v",S20,Q388,S14,Q401,S16,172v
Q400,P12,+1393-12-09T00:00:00Z/11
Q400,P13,Q31
Q400,P17,"BP 3, nr 349 (false sub data 9 XI 1393)",P18,Q385
Q400,P17,,P18,Q386
Q400,P22,Q10
Q400,P23,Q404
Q400,P31,Q30
Q400,P30,14
Q404,P56,Q413,S51,Q400
Q413,P33,Q404,S51,Q400
Q400,P27,Q10
Q400,P27,Q404
Q400,P27,Q413
Q400,P27,Q30
